Calibration values (ps) from cell 0 to 1024 :

00088.085	00088.285	00088.485	00088.684	00088.884	00089.084	00089.284	00089.484	cell = 440 to 447
00089.684	00089.884	00090.084	00090.284	00090.484	00090.684	00090.884	00091.084	cell = 448 to 455
00091.284	00091.484	00091.685	00091.885	00092.085	00092.285	00092.486	00092.686	cell = 456 to 463
00092.886	00093.086	00093.287	00093.487	00093.687	00093.888	00094.088	00094.289	cell = 464 to 471
00094.489	00094.690	00094.890	00095.091	00095.291	00095.492	00095.692	00095.893	cell = 472 to 479
00096.093	00096.293	00096.494	00096.694	00096.895	00097.096	00097.297	00097.497	cell = 480 to 487
00097.699	00097.900	00098.101	00098.302	00098.503	00098.704	00098.905	00099.105	cell = 488 to 495
00099.306	00099.506	00099.707	00099.907	00100.106	00100.306	00100.505	00100.704	cell = 496 to 503
00100.903	00101.102	00101.300	00101.499	00101.698	00101.897	00102.095	00102.294	cell = 504 to 511
00102.492	00102.690	00102.887	00103.085	00103.284	00103.482	00103.680	00103.878	cell = 512 to 519
00104.077	00104.276	00104.474	00104.673	00104.871	00105.069	00105.268	00105.466	cell = 520 to 527
00105.665	00105.863	00106.062	00106.260	00106.459	00106.657	00106.856	00107.055	cell = 528 to 535
00107.254	00107.452	00107.651	00107.850	00108.048	00108.247	00108.445	00108.644	cell = 536 to 543
00108.843	00109.041	00109.240	00109.438	00109.637	00109.835	00110.033	00110.232	cell = 544 to 551
00110.430	00110.629	00110.828	00111.026	00111.225	00111.423	00111.621	00111.820	cell = 552 to 559
00112.019	00112.217	00112.416	00112.614	00112.812	00113.011	00113.209	00113.407	cell = 560 to 567
00113.605	00113.803	00114.001	00114.199	00114.397	00114.595	00114.793	00114.991	cell = 568 to 575
00115.189	00115.387	00115.585	00115.783	00115.981	00116.179	00116.377	00116.575	cell = 576 to 583
00116.774	00116.972	00117.170	00117.369	00117.567	00117.765	00117.964	00118.162	cell = 584 to 591
00118.361	00118.559	00118.758	00118.956	00119.155	00119.354	00119.553	00119.751	cell = 592 to 599
00119.950	00120.150	00120.349	00120.548	00120.747	00120.947	00121.147	00121.346	cell = 600 to 607
00121.546	00121.746	00121.946	00122.145	00122.345	00122.546	00122.746	00122.947	cell = 608 to 615
00123.147	00123.347	00123.547	00123.747	00123.947	00124.147	00124.347	00124.547	cell = 616 to 623
00124.747	00124.947	00125.148	00125.347	00125.547	00125.747	00125.947	00126.147	cell = 624 to 631
00126.347	00126.547	00126.746	00126.946	00127.146	00127.346	00127.546	00127.746	cell = 632 to 639
00127.946	00128.146	00128.346	00128.546	00128.746	00128.947	00129.147	00129.347	cell = 640 to 647
00129.548	00129.748	00129.949	00130.149	00130.350	00130.550	00130.750	00130.951	cell = 648 to 655
00131.151	00131.352	00131.552	00131.752	00131.952	00132.152	00132.352	00132.552	cell = 656 to 663
00132.752	00132.953	00133.153	00133.353	00133.554	00133.754	00133.955	00134.155	cell = 664 to 671
00134.356	00134.556	00134.757	00134.957	00135.158	00135.359	00135.560	00135.760	cell = 672 to 679
00135.961	00136.162	00136.362	00136.563	00136.763	00136.964	00137.164	00137.365	cell = 680 to 687
00137.565	00137.765	00137.965	00138.166	00138.366	00138.566	00138.767	00138.967	cell = 688 to 695
00139.168	00139.368	00139.569	00139.769	00139.969	00140.170	00140.370	00140.571	cell = 696 to 703
00140.771	00140.972	00141.172	00141.373	00141.573	00141.773	00141.974	00142.174	cell = 704 to 711
00142.375	00142.575	00142.775	00142.975	00143.176	00143.376	00143.576	00143.777	cell = 712 to 719
00143.977	00144.178	00144.378	00144.578	00144.779	00144.979	00145.179	00145.380	cell = 720 to 727
00145.580	00145.780	00145.980	00146.180	00146.380	00146.579	00146.779	00146.979	cell = 728 to 735
00147.178	00147.378	00147.577	00147.776	00147.976	00148.175	00148.375	00148.574	cell = 736 to 743
00148.774	00148.974	00149.173	00149.373	00149.572	00149.772	00149.972	00150.172	cell = 744 to 751
00150.371	00150.571	00150.771	00150.971	00151.170	00151.370	00151.570	00151.771	cell = 752 to 759
00151.971	00152.171	00152.371	00152.572	00152.772	00152.972	00153.173	00153.373	cell = 760 to 767
00153.573	00153.773	00153.974	00154.174	00154.374	00154.575	00154.775	00154.975	cell = 768 to 775
00155.175	00155.375	00155.575	00155.775	00155.974	00156.174	00156.374	00156.573	cell = 776 to 783
00156.772	00156.971	00157.171	00157.370	00157.569	00157.769	00157.968	00158.167	cell = 784 to 791
00158.367	00158.566	00158.765	00158.964	00159.164	00159.364	00159.563	00159.763	cell = 792 to 799
00159.962	00160.162	00160.362	00160.561	00160.761	00160.961	00161.161	00161.361	cell = 800 to 807
00161.562	00161.762	00161.963	00162.163	00162.364	00162.564	00162.765	00162.966	cell = 808 to 815
00163.167	00163.367	00163.568	00163.769	00163.969	00164.170	00164.371	00164.571	cell = 816 to 823
00164.772	00164.973	00165.173	00165.374	00165.575	00165.775	00165.976	00166.176	cell = 824 to 831
00166.377	00166.578	00166.779	00166.980	00167.181	00167.382	00167.583	00167.784	cell = 832 to 839
00167.986	00168.187	00168.388	00168.589	00168.789	00168.990	00169.191	00169.391	cell = 840 to 847
00169.592	00169.792	00169.993	00170.193	00170.393	00170.593	00170.794	00170.994	cell = 848 to 855
00171.194	00171.394	00171.594	00171.794	00171.994	00172.194	00172.393	00172.593	cell = 856 to 863
00172.793	00172.992	00173.192	00173.391	00173.591	00173.790	00173.989	00174.189	cell = 864 to 871
00174.388	00174.588	00174.787	00174.986	00175.186	00175.386	00175.585	00175.785	cell = 872 to 879
00175.985	00176.185	00176.385	00176.586	00176.786	00176.987	00177.187	00177.388	cell = 880 to 887
00177.588	00177.789	00177.989	00178.190	00178.390	00178.591	00178.791	00178.991	cell = 888 to 895
00179.191	00179.391	00179.591	00179.791	00179.990	00180.190	00180.390	00180.590	cell = 896 to 903
00180.790	00180.989	00181.189	00181.388	00181.588	00181.787	00181.987	00182.186	cell = 904 to 911
00182.386	00182.586	00182.786	00182.986	00183.186	00183.386	00183.586	00183.786	cell = 912 to 919
00183.986	00184.186	00184.387	00184.587	00184.787	00184.988	00185.188	00185.389	cell = 920 to 927
00185.589	00185.790	00185.990	00186.190	00186.391	00186.591	00186.791	00186.992	cell = 928 to 935
00187.192	00187.392	00187.592	00187.792	00187.992	00188.192	00188.392	00188.592	cell = 936 to 943
00188.792	00188.992	00189.192	00189.392	00189.592	00189.792	00189.992	00190.192	cell = 944 to 951
00190.392	00190.592	00190.792	00190.992	00191.191	00191.391	00191.591	00191.791	cell = 952 to 959
00191.991	00192.191	00192.391	00192.591	00192.791	00192.992	00193.192	00193.393	cell = 960 to 967
00193.593	00193.794	00193.994	00194.195	00194.395	00194.596	00194.797	00194.998	cell = 968 to 975
00195.198	00195.399	00195.600	00195.800	00196.001	00196.202	00196.402	00196.603	cell = 976 to 983
00196.804	00197.004	00197.204	00197.405	00197.605	00197.805	00198.006	00198.206	cell = 984 to 991
00198.407	00198.608	00198.809	00199.010	00199.211	00199.411	00199.612	00199.813	cell = 992 to 999
00200.014	00200.215	00200.416	00200.617	00200.818	00201.019	00201.220	00201.420	cell = 1000 to 1007
00201.621	00201.821	00202.020	00202.219	00202.418	00202.617	00202.816	00203.015	cell = 1008 to 1015
00203.213	00203.412	00203.610	00203.809	00204.007	00204.206	00204.404	00204.602	cell = 1016 to 1023
